13dx,13dy,13dz
5.0187545871605e-05,-1.8857049931542e-06,-8.2672533835426e-07
5.0944814142695e-05,-1.3135154028898e-06,-5.7884286441823e-07
5.1697868373279e-05,-7.2259380157202e-07,-3.2283605166938e-07
5.2446227028713e-05,-1.1285448320297e-07,-5.8667218971742e-08
5.3189403615095e-05,5.1577192228258e-07,2.1369367425583e-07
5.3926904900192e-05,1.1633374982223e-06,4.9426863463209e-07
5.4658229300508e-05,1.8298770161351e-06,7.8307173906333e-07
5.5382865700393e-05,2.515408919268e-06,1.08010975991e-06
5.6100292964989e-05,3.2199372675956e-06,1.3853832648292e-06
5.6809980364281e-05,3.9434544244488e-06,1.6988880494617e-06
5.7511389009279e-05,4.6859440453462e-06,2.020616658549e-06
5.8203974206805e-05,5.4473837370894e-06,2.3505596599693e-06
5.8887188430279e-05,6.2277467445249e-06,2.6887063535042e-06
5.9560484323984e-05,7.0270020557928e-06,3.035044637445e-06
6.0223317151831e-05,7.8451128077139e-06,3.3895600251577e-06
6.0875146192074e-05,8.6820332887427e-06,3.7522340129992e-06
6.1515434851805e-05,9.5377052296008e-06,4.123042186166e-06
6.2143649653318e-05,1.0412054255449e-05,4.5019525118928e-06
6.2759258479095e-05,1.1304987220018e-05,4.8889241640038e-06
6.3361728557337e-05,1.2216390856135e-05,5.2839070565081e-06
6.3950524634371e-05,1.3146131832009e-05,5.6868420885703e-06
6.4525107663749e-05,1.4094058048864e-05,6.0976619750686e-06
6.5084934195603e-05,1.5060000829625e-05,6.5162924573481e-06
6.5629456515157e-05,1.6043777566699e-05,6.9426536632444e-06
6.6158123483553e-05,1.7045194414478e-05,7.3766614029913e-06
6.6670381968545e-05,1.8064048643462e-05,7.8182282222117e-06
6.7165678673792e-05,1.9100130341454e-05,8.2672640748238e-06
6.7643462159844e-05,2.0153223263097e-05,8.7236765439203e-06
6.8103184895071e-05,2.1223104760271e-05,9.187370606567e-06
6.8544305082678e-05,2.230954479765e-05,9.6582479771068e-06
6.8966288137795e-05,2.3412304197334e-05,1.0136206127498e-05
6.9368607677717e-05,2.4531132333805e-05,1.0621137110589e-05
6.9750745928875e-05,2.5665764564531e-05,1.1112926341428e-05
7.0112193523923e-05,2.6815919731971e-05,1.1611451500637e-05
